number1 number2
22740.3 1506
12970.3 954
7640.3 3188
39660.3 1671
1690.3 3205
4870.3 4763
48250.3 4108
34690.3 228
39170.3 4010
36170.3 2173
42350.3 2493
23420.3 864
46970.3 2551
47700.3 116
12150.3 4009
25460.3 3498
33000.3 2502
20620.3 2149
17040.3 3447
14400.3 4547
27610.3 2527
12780.3 903
490.3 1052
11080.3 1696
7800.3 4823
33820.3 1282
30250.3 4921
45040.3 2742
16640.3 272
6250.3 3157
28250.3 2936
48930.3 484
31200.3 145
41500.3 3764
23420.3 1712
45280.3 3563
17830.3 3599
33840.3 1092
45200.3 2069
44470.3 3595
34720.3 1028
3610.3 3528
10950.3 4519
37600.3 2481
33520.3 3881
17340.3 1081
42010.3 4607
6430.3 600
29390.3 4128
6760.3 3170
24670.3 2892
25200.3 3357
35050.3 3559
20030.3 285
30790.3 3089
26630.3 4784
1420.3 4040
18620.3 420
30280.3 301
42050.3 4552
18610.3 2199
45660.3 3361
2770.3 3010
25580.3 819
49980.3 4778
38930.3 24
28190.3 2085
11030.3 230
14590.3 3883
15910.3 4619
37010.3 1144
33720.3 3990
16290.3 4287
26450.3 3149
12650.3 853
2760.3 129
45300.3 2119
41340.3 3452
36970.3 4884
27440.3 4724
46830.3 1157
27870.3 2565
17300.3 3261
45130.3 4689
22910.3 621
27540.3 641
45640.3 3976
10150.3 2484
45200.3 2112
30840.3 2076
24510.3 3231
38230.3 50
16260.3 567
26750.3 172
10970.3 1143
23190.3 808
37610.3 220
21680.3 4185
32220.3 230
28670.3 2907
13420.3 4208
22290.3 1249
38970.3 4164
26190.3 16
8620.3 4378
35970.3 2518
24800.3 989
3070.3 1236
8730.3 2890
15760.3 1091
25590.3 3586
23440.3 4336
19520.3 1974
9210.3 3939
15520.3 4307
22920.3 83
19600.3 621
46840.3 3775
6360.3 2048
32220.3 2674
43830.3 2229
19760.3 3446
48260.3 2237
15370.3 3920
20620.3 3396
47530.3 4545
36090.3 2983
33160.3 2059
16760.3 4763
36860.3 1775
21800.3 355
28740.3 2637
48740.3 4486
1210.3 204
28230.3 4088
23770.3 615
29610.3 1298
3190.3 4031
47260.3 1794
8110.3 293
13700.3 2571
7220.3 3322
34890.3 2112
34840.3 2942
21540.3 2084
47800.3 4194
12770.3 297
48900.3 3910
39630.3 4724
40970.3 3546
1460.3 4971
10650.3 4044
26230.3 3504
31930.3 2950
10550.3 1282
49800.3 364
